Date,GEO,value,Age,Sex,Characteristics
2018-01-06,Canada,6630,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Canada,280,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Canada,975,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Canada,2825,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Canada,2545,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,120,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,15,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,70,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,30,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Prince Edward Island,25,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Prince Edward Island,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Prince Edward Island,5,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Prince Edward Island,10,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Prince Edward Island,10,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Nova Scotia,205,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Nova Scotia,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Nova Scotia,30,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Nova Scotia,105,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Nova Scotia,70,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,New Brunswick,180,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,New Brunswick,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,New Brunswick,35,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,New Brunswick,75,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,New Brunswick,70,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Quebec,1600,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Quebec,55,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Quebec,205,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Quebec,695,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Quebec,650,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Ontario,2465,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Ontario,105,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Ontario,365,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Ontario,1055,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Ontario,940,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Manitoba,280,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Manitoba,15,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Manitoba,55,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Manitoba,115,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Manitoba,90,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Saskatchewan,235,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Saskatchewan,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Saskatchewan,30,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Saskatchewan,90,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Saskatchewan,105,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Alberta,630,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Alberta,30,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Alberta,105,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Alberta,265,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Alberta,225,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,British Columbia,875,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,British Columbia,50,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,British Columbia,130,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,British Columbia,345,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,British Columbia,355,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Yukon,,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Northwest Territories,5,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Northwest Territories,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Northwest Territories,0,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Northwest Territories,5,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Northwest Territories,0,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Nunavut,5,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Nunavut,5,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Canada,6660,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Canada,260,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Canada,880,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Canada,2805,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Canada,2720,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,110,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,20,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,55,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,35,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Prince Edward Island,25,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Prince Edward Island,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Prince Edward Island,0,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
